id,created_at,approval_status,ticket_name,Which of the following best describes your background? ,Which part of AI interests you most?,Are you interested in contributing to the GenAI collective community?,What will you help you best with your AI project or startup ideas? (Helps us plan better programming for you!),Is it ok to share your contact for networking?
1,2025-02-21T23:55:57.520Z,approved,Standard,Student,"HealthCare, Business, Startups, Education",,,
2,2025-02-20T17:12:33.300Z,approved,Standard,"general/other, student",HealthCare,"Chapter Leadership, Sponsoring or partnering",Connect me with people in Healthcare!,
3,2025-02-21T05:09:42.033Z,approved,Standard,investor,"Startups, Business","Volunteering at events, Helping with social media & content",,
4,2025-02-21T00:15:03.441Z,approved,Standard,founder,"Startups, Business","Chapter Leadership, Sponsoring or partnering",,
5,2025-02-17T23:45:49.230Z,approved,Standard,,"AI & Business Applications, AI Research, AI & Education",Speaking at future meetups,,
6,2025-02-22T01:15:28.461Z,approved,Standard,"Founder, Operator/Service provider","Business, Startups, Finance",Chapter Leadership,Tools,
7,2025-02-23T10:29:25.438Z,approved,Standard,"Operator/Service provider, Investor","Finance, HealthCare","Helping with social media & content, Writing blogs/articles on AI",,Yes
8,2025-02-20T21:00:07.873Z,approved,Standard,general/other,Other(pls specify),,,
9,2025-02-17T16:21:22.561Z,approved,Standard,,AI & Design (UX/HCI),,,
10,2025-02-23T19:21:10.513Z,approved,Standard,"Founder, Student","Startups, Business",Speaking at future meetups,"Networking, mentorship, and opportunities.",Yes
11,2025-02-24T22:17:22.761Z,pending_approval,Standard,Founder,Business,Chapter Leadership,,Yes
12,2025-02-22T14:24:46.357Z,pending_approval,Standard,Student,"Startups, Business, Design, Research, Ethics","Volunteering at events, Writing blogs/articles on AI, Helping with social media & content, Sponsoring or partnering",,
13,2025-02-25T09:47:23.969Z,pending_approval,Standard,"General, Engineer, Researcher","Business, Startups, Research, Finance",,,No
14,2025-02-23T15:03:41.525Z,pending_approval,Standard,Researcher,Education,"Speaking at future meetups, Helping with social media & content",Just Networking for now and potential collaboration between folks,Yes
15,2025-02-24T14:20:40.386Z,pending_approval,Standard,Engineer,"HealthCare, Education, Startups","Volunteering at events, Writing blogs/articles on AI",,Yes
16,2025-02-24T16:21:49.737Z,pending_approval,Standard,Executive,"Startups, Business, Education, HealthCare, Other(pls specify), Finance, Design, CyberSecurity",,Investment connections ,Yes
17,2025-02-24T16:28:25.660Z,pending_approval,Standard,"Operator/Service provider, Founder","Business, Startups, Finance",Volunteering at events,,No
18,2025-02-22T17:41:53.106Z,pending_approval,Standard,Student,"HealthCare, Startups, Finance, Business, Education",,,Yes
19,2025-02-22T16:00:16.300Z,pending_approval,Standard,Media,Education,Writing blogs/articles on AI,"I""m a communications consultant, former senior management for a government agency. I'm interested in the full range of communications implications.",Yes
20,2025-02-22T21:56:58.327Z,pending_approval,Standard,Investor,Startups,,,Yes
21,2025-02-24T20:39:18.564Z,pending_approval,Standard,"Founder, Engineer, Researcher",Startups,Chapter Leadership,,Yes
22,2025-02-24T20:14:26.717Z,pending_approval,Standard,Investor,"Business, HealthCare, CyberSecurity",,,Yes
23,2025-02-24T13:16:51.099Z,pending_approval,Standard,"Engineer, Founder","Startups, Finance","Speaking at future meetups, Writing blogs/articles on AI",,Yes
24,2025-02-23T02:07:00.984Z,pending_approval,Standard,"Researcher, Engineer","Startups, Research",,Latest tools coming out,Yes
25,2025-02-23T20:20:16.242Z,pending_approval,Standard,Engineer,"Business, Education, Startups",,I'm just constantly on the lookout for better ways to use AI to assist in learning (as I work for an edtech startup) and general business process automation,Yes
26,2025-02-23T20:29:35.759Z,pending_approval,Standard,"Researcher, Engineer","Ethics, Research, Startups","Volunteering at events, Writing blogs/articles on AI",Would like to meet like-minded individuals working on responsible AI and fairness,Yes
27,2025-02-24T18:47:57.641Z,pending_approval,Standard,Operator/Service provider,"Business, Research",Speaking at future meetups,Getting workshops on deep tech related to ai + meeting technical people,Yes
28,2025-02-21T17:19:37.457Z,pending_approval,Standard,"Engineer, Founder",Startups,Speaking at future meetups,,
